Alarm_Type,Start,End,Duration
MIDDLE_LEVEL_ALARM,2024-08-28 19:30:00,2024-08-29 08:07:00,757.0
MIDDLE_LEVEL_ALARM,2024-08-29 08:12:00,2024-08-29 08:40:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-29 08:42:00,2024-08-29 08:50:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-29 08:53:00,2024-08-29 09:21:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-29 09:24:00,2024-08-29 09:53:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-29 09:56:00,2024-08-29 10:05:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-29 10:07:00,2024-08-29 10:32:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-29 10:34:00,2024-08-29 10:43:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-29 10:46:00,2024-08-29 11:14:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-29 11:16:00,2024-08-29 11:52:00,36.0
MIDDLE_LEVEL_ALARM,2024-08-29 11:54:00,2024-08-29 12:02:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-30 11:03:00,2024-08-30 11:17:00,14.0
MIDDLE_LEVEL_ALARM,2024-08-30 11:19:00,2024-08-30 11:30:00,11.0
MIDDLE_LEVEL_ALARM,2024-08-30 11:32:00,2024-08-30 11:46:00,14.0
MIDDLE_LEVEL_ALARM,2024-08-30 11:49:00,2024-08-30 11:58:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-30 12:00:00,2024-08-30 12:14:00,14.0
MIDDLE_LEVEL_ALARM,2024-08-30 12:17:00,2024-08-30 12:43:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-30 12:45:00,2024-08-30 12:53:00,8.0
MIDDLE_LEVEL_ALARM,2024-08-30 12:57:00,2024-08-30 13:23:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-30 13:26:00,2024-08-30 13:35:00,9.0
MIDDLE_LEVEL_ALARM,2024-08-30 13:37:00,2024-08-30 13:54:00,17.0
MIDDLE_LEVEL_ALARM,2024-08-30 13:57:00,2024-08-30 14:08:00,11.0
HIGH_LEVEL_ALARM,2024-08-09 02:52:00,2024-08-09 04:04:00,72.0
HIGH_LEVEL_ALARM,2024-08-09 08:32:00,2024-08-09 08:32:00,0.0
HIGH_LEVEL_ALARM,2024-08-09 09:10:00,2024-08-09 09:10:00,0.0
